product_id,super_category,category,shelf
613616,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
612895,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
498797,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
188814,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
547869,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
580416,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
580418,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
580409,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
547870,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
681062,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
626196,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
725952,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
575611,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
535005,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
588522,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
572270,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
552534,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
572326,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
588572,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
572323,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
535012,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
574603,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
572321,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
595991,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
747649,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
737998,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
596011,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
600544,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
682727,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
595971,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
670963,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
718915,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
718914,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
719488,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
563674,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
563676,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
563710,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
611594,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
646148,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
807440,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
734138,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
734004,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
727289,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
605759,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
604533,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
600338,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
777596,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
769965,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
1383192,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
729548,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
730230,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
728981,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
729524,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
592035,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
592029,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
592023,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
592027,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
592033,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
548118,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
540606,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
526531,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
554027,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
679157,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
1374707,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
526419,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
531621,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
538834,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
554583,Beauty & Personal Care,Baby Care,Baby Toys & Gifts
618082,Beauty & Personal Care,Baby Care,Clothes & Accessories
618078,Beauty & Personal Care,Baby Care,Clothes & Accessories
618084,Beauty & Personal Care,Baby Care,Clothes & Accessories
618064,Beauty & Personal Care,Baby Care,Clothes & Accessories
618070,Beauty & Personal Care,Baby Care,Clothes & Accessories
777479,Beauty & Personal Care,Baby Care,Clothes & Accessories
754459,Beauty & Personal Care,Baby Care,Clothes & Accessories
721546,Beauty & Personal Care,Baby Care,Clothes & Accessories
571050,Beauty & Personal Care,Baby Care,Clothes & Accessories
728254,Beauty & Personal Care,Baby Care,Clothes & Accessories
720452,Beauty & Personal Care,Baby Care,Clothes & Accessories
720183,Beauty & Personal Care,Baby Care,Clothes & Accessories
720289,Beauty & Personal Care,Baby Care,Clothes & Accessories
720184,Beauty & Personal Care,Baby Care,Clothes & Accessories
720463,Beauty & Personal Care,Baby Care,Clothes & Accessories
720467,Beauty & Personal Care,Baby Care,Clothes & Accessories
787017,Beauty & Personal Care,Baby Care,Clothes & Accessories
622285,Beauty & Personal Care,Baby Care,Clothes & Accessories
606698,Beauty & Personal Care,Baby Care,Clothes & Accessories
723510,Beauty & Personal Care,Baby Care,Clothes & Accessories
596566,Beauty & Personal Care,Baby Care,Clothes & Accessories
1361835,Beauty & Personal Care,Baby Care,Clothes & Accessories
1361839,Beauty & Personal Care,Baby Care,Clothes & Accessories
620955,Beauty & Personal Care,Baby Care,Clothes & Accessories
618697,Beauty & Personal Care,Baby Care,Clothes & Accessories
642734,Beauty & Personal Care,Baby Care,Clothes & Accessories
644185,Beauty & Personal Care,Baby Care,Clothes & Accessories
653516,Beauty & Personal Care,Baby Care,Clothes & Accessories
653518,Beauty & Personal Care,Baby Care,Clothes & Accessories
533988,Beauty & Personal Care,Baby Care,Clothes & Accessories
749843,Beauty & Personal Care,Baby Care,Clothes & Accessories
618968,Beauty & Personal Care,Baby Care,Clothes & Accessories
760516,Beauty & Personal Care,Baby Care,Clothes & Accessories
760519,Beauty & Personal Care,Baby Care,Clothes & Accessories
759735,Beauty & Personal Care,Baby Care,Clothes & Accessories
1368067,Beauty & Personal Care,Baby Care,Clothes & Accessories
1363540,Beauty & Personal Care,Baby Care,Clothes & Accessories
